Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Date of Launch,Expected Lifetime (Years),order,,,
SRMSat,India,Civil,Technology Development,LEO,0,850,868,0.00124,20,102.1,11,10/12/2011,1 yr.,174,,,
AprizeSat 1,Argentina,Commercial,Communications/Technology Development,LEO,0,696,764,0.00479,98,99.4,12,6/29/2004,,175,,,
AprizeSat 10,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,0,613,733,0.00852,97.9,98,12,6/19/2014,,176,,,
AprizeSat 2,Argentina,Commercial,Communications/Technology Development,LEO,0,694,850,0.0109,98.2,100.3,12,6/29/2004,,177,,,
AprizeSat 3,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,0,559,662,0.00738,98.18,97,12,7/29/2009,,178,,,
AprizeSat 4,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,0,604,674,0.00499,98.1,97.5,12,7/29/2009,,179,,,
AprizeSat 5,Canada,Commercial,Communications,LEO,0,610,694,0.00598,98.2,97.8,12,8/17/2011,,180,,,
AprizeSat 7,Canada,Commercial,Communications,LEO,0,594,653,0.00422,97.8,97.17,12,11/21/2013,,181,,,
AprizeSat 8,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,0,594,669,0.00536,97.8,97.99,12,11/21/2013,,182,,,
AprizeSat 9,Canada,Commercial,Communications/Maritime Tracking,LEO,0,613,715,0.00725,97.9,98,12,6/19/2014,,183,,,
exactView 6,Canada,Commercial,Communications,LEO,0,627,694,0.00476,98.2,98,12,8/17/2011,,184,,,
Saudicomsat-1,Saudi Arabia,Commercial,Technology Development,LEO,0,697,747,0.00353,98,99.2,12,6/29/2004,,185,,,
Saudicomsat-2 ,Saudi Arabia,Commercial,Technology Development,LEO,0,696,780,0.00591,98.1,99.6,12,6/29/2004,,186,,,
Saudicomsat-3,Saudi Arabia,Commercial,Communications,LEO,0,652,714,0.0044,97.8,98.4,12,4/17/2007,,187,,,
Saudicomsat-4,Saudi Arabia,Commercial,Communications,LEO,0,649,746,0.00686,97.8,98.7,12,4/17/2007,,188,,,
Saudicomsat-5,Saudi Arabia,Commercial,Communications,LEO,0,651,725,0.00524,97.8,98.5,12,4/17/2007,,189,,,
Saudicomsat-6,Saudi Arabia,Commercial,Communications,LEO,0,648,758,0.00778,97.8,98.8,12,4/17/2007,,190,,,
Saudicomsat-7,Saudi Arabia,Commercial,Communications,LEO,0,650,736,0.00609,97.8,98.6,12,4/17/2007,,191,,,
ZP-2A,China,Civil,Technology Development,LEO,0,517,534,0.00123,97.46,95.15,12,9/19/2015,,192,,,
ZP-2B,China,Civil,Technology Development,LEO,0,517,535,0.00131,97.45,95.16,12,9/19/2015,,193,,,
Velox 2,Singapore,Civil,Technology Development,LEO,0,537,550,0.00094,14.98,95.48,13,12/16/2015,,194,,,
AISat-1,Germany,Government,Communications,LEO,0,643,660,0.00121,98.25,97.76,14,6/30/2014,,195,,,
TUGSat-1,Austria,Civil,Technology Development,LEO,0,770,784,0.000979,98.6,100.3,14,2/25/2013,,196,,,
GHGSat-D,Canada,Commercial,Earth Science,LEO,0,500,512,0.000873,97.5,94.7,15,6/22/2016,,197,,,
Nanosat-1,Spain,Government,Communications,LEO,0,654,659,0.000356,98.4,97.9,20,12/18/2004,,198,,,
Nanosat-1B,Spain,Government,Communications/Technology Development,LEO,0,583,672,0.00636,98.1,97.3,20,7/29/2009,,199,,,
Naxing 2,China,Civil,Technology Development,LEO,0,519,540,0.00152,97.45,95.22,20,9/19/2015,,200,,,
Tiantuo-3,China,Government,Technology Development,LEO,0,392,522,0.00952,97.42,93.73,20,9/19/2015,,201,,,
Aurora,Russia,Commercial,Technology Development,LEO,0,583,618,0.00251,97.99,96.7,25,6/19/2014,1 yr.,202,,,
Bugsat-1,Argentina,Commercial,Technology Development,LEO,0,570,617,0.00337,97.99,96.55,25,6/19/2014,,203,,,
XW-2A,China,Civil,Communications,LEO,0,518,535,0.00123,97.46,95.17,25,9/19/2015,,204,,,
DX-1,Russia,Commercial,Communications,LEO,0,626,636,0.000714,98.4,97.33,27,7/8/2014,,205,,,
Amsat-Oscar 7,USA,Civil,Communications,LEO,0,1440,1459,0.00121,101.4,114.9,29,11/15/1974,,206,,,
Vesselsat-1,USA,Commercial,Communications,LEO,0,847,867,0.00138,20,102.1,29,10/12/2011,,207,,,
Vesselsat-2,USA,Commercial,Communications,LEO,0,479,490,0.000802,97.5,94.3,29,1/9/2012,,208,,,
ÑuSat-1,Argentina,Commercial,Earth Observation,LEO,0,481,499,0.00131,97.5,94.41,35,5/29/2016,,209,,,
